survey_id panel_id pid
3854 I00000045747 P00000239999
3854 I00000060760 P00000137377
3854 I00000049106 P00000287048
3854 I00000153095 P00000488723
3854 I00000018069 P00000256041
3854 I00000096626 P00000405748
3854 I00000125320 P00000111392
3854 I00000154420 P00000271629
3854 I00000143794 P00000247220
3854 I00000070555 P00000163785
3854 I00000030646 P00000325656
3854 I00000154616 P00000246629
3854 I00000017172 P00000313841
3854 I00000109862 P00000268058
3854 I00000110443 P00000195389
3854 I00000114674 P00000329334
3854 I00000118046 P00000212797
3854 I00000128115 P00000180197
3854 I00000019666 P00000065340
3854 I00000124057 P00000478102
3854 I00000102660 P00000469360
3854 I00000128416 P00000415237
3854 I00000032863 P00000411422
3854 I00000000003 P00000143694
3854 I00000125716 P00000485362
3854 I00000026031 P00000142300
3854 I00000131669 P00000410297
3854 I00000149425 P00000238354
3854 I00000026244 P00000385104
3854 I00000116557 P00000218675
3854 I00000107358 P00000427408
3854 I00000104291 P00000418708
3854 I00000040068 P00000443784
3854 I00000094822 P00000277503
3854 I00000074785 P00000358250
3854 I00000006602 P00000460128
3854 I00000006903 P00000237775
3854 I00000130801 P00000242845
3854 I00000078468 P00000103458
3854 I00000136998 P00000011618
3854 I00000097677 P00000422223
3854 I00000130862 P00000262224
3854 I00000070390 P00000146458
3854 I00000127528 P00000405361
3854 I00000154408 P00000077114
3854 I00000106835 P00000333377
3854 I00000005504 P00000212029
3854 I00000139242 P00000164084
3854 I00000078146 P00000350048
3854 I00000122797 P00000024584
3854 I00000107065 P00000170958
3854 I00000001682 P00000434281
3854 I00000018430 P00000117122
3854 I00000111088 P00000378809
3854 I00000114053 P00000377847
3854 I00000063414 P00000199507
3854 I00000079645 P00000082268
3854 I00000120043 P00000393169
3854 I00000129178 P00000086678
3854 I00000150397 P00000449925
3854 I00000008531 P00000393152
3854 I00000117698 P00000233786
3854 I00000090514 P00000202360
3854 I00000135212 P00000384138
3854 I00000089873 P00000066283
3854 I00000128518 P00000107362
3854 I00000127601 P00000494461
3854 I00000080524 P00000010051
3854 I00000070777 P00000013031
3854 I00000155443 P00000230928
3854 I00000110538 P00000014784
3854 I00000053529 P00000069634
3854 I00000091123 P00000270672
3854 I00000127327 P00000213568
3854 I00000129470 P00000387420
3854 I00000089532 P00000116764
3854 I00000123346 P00000133064
3854 I00000124849 P00000324953
3854 I00000115204 P00000408892
3854 I00000006086 P00000135412
3854 I00000009081 P00000090019
3854 I00000004702 P00000486877
3854 I00000034541 P00000365024
3854 I00000147520 P00000215114
3854 I00000130599 P00000091434
3854 I00000045047 P00000365684
3854 I00000094377 P00000386762
3854 I00000037989 P00000211205
3854 I00000130709 P00000196840
3854 I00000033115 P00000251417
3854 I00000043354 P00000341783
3854 I00000149569 P00000414671
3854 I00000091726 P00000316215
3854 I00000101357 P00000307626
3854 I00000068505 P00000461500
3854 I00000018171 P00000201569
3854 I00000103973 P00000484495
3854 I00000156154 P00000219686
3854 I00000075649 P00000110010
3854 I00000039076 P00000356260
3854 I00000116592 P00000499413
3854 I00000095562 P00000361747
3854 I00000044854 P00000402799
3854 I00000132929 P00000420856
3854 I00000152700 P00000402479
3854 I00000097694 P00000153703
3854 I00000103488 P00000240261
3854 I00000065719 P00000239117
3854 I00000036547 P00000082815
3854 I00000065232 P00000423221
3854 I00000094833 P00000228493
3854 I00000077903 P00000438779
3854 I00000145912 P00000147868
3854 I00000091852 P00000048820
3854 I00000001819 P00000409023
3854 I00000006030 P00000154971
3854 I00000123790 P00000233911
3854 I00000018490 P00000258666
3854 I00000032970 P00000361075
3854 I00000110315 P00000382056
3854 I00000147990 P00000342406
3854 I00000147317 P00000264336
3854 I00000064416 P00000354547
3854 I00000078538 P00000141983
3854 I00000154383 P00000496284
3854 I00000128283 P00000374974
3854 I00000125207 P00000333926
3854 I00000039435 P00000425134
3854 I00000026849 P00000043379
3854 I00000078430 P00000453943
3854 I00000097582 P00000218845
3854 I00000016251 P00000493013
3854 I00000073988 P00000453291
3854 I00000121918 P00000302002
3854 I00000079696 P00000089707
3854 I00000152219 P00000397528
3854 I00000113809 P00000038625
3854 I00000061493 P00000194299
3854 I00000006063 P00000120449
3854 I00000010992 P00000473766
3854 I00000075454 P00000390723
3854 I00000147258 P00000178295
3854 I00000036283 P00000131775
3854 I00000019884 P00000087911
3854 I00000138986 P00000046334
3854 I00000005833 P00000136008
3854 I00000123378 P00000217041
3854 I00000042607 P00000170846
3854 I00000141934 P00000079359
3854 I00000086983 P00000170809
3854 I00000145862 P00000049455
3854 I00000008171 P00000348426
3854 I00000152328 P00000255015
3854 I00000102466 P00000075926
3854 I00000128708 P00000479015
3854 I00000080818 P00000002164
3854 I00000005450 P00000197242
3854 I00000063696 P00000426352
3854 I00000001707 P00000197569
3854 I00000101920 P00000087907
3854 I00000100060 P00000147537
3854 I00000065882 P00000311199
3854 I00000032589 P00000162230
3854 I00000076629 P00000308102
3854 I00000070879 P00000330916
3854 I00000075626 P00000405669
3854 I00000137744 P00000023447
3854 I00000117408 P00000181456
3854 I00000124762 P00000262061
3854 I00000129629 P00000053402
3854 I00000074463 P00000115089
3854 I00000126084 P00000410445
3854 I00000089462 P00000058790
3854 I00000103273 P00000294553
3854 I00000144070 P00000461863
3854 I00000083411 P00000055351
3854 I00000127609 P00000101247
3854 I00000099931 P00000160422
3854 I00000008333 P00000157201
3854 I00000128978 P00000397376
3854 I00000153918 P00000436153
3854 I00000038969 P00000438568
3854 I00000137191 P00000095507
3854 I00000100836 P00000284768
3854 I00000060988 P00000110312
3854 I00000130725 P00000201660
3854 I00000089505 P00000419412
3854 I00000138599 P00000298414
3854 I00000133479 P00000043810
3854 I00000121017 P00000417102
3854 I00000151973 P00000298093
3854 I00000078860 P00000477758
3854 I00000081807 P00000481711
3854 I00000114602 P00000427195
3854 I00000121896 P00000287126
3854 I00000122717 P00000252616
3854 I00000099026 P00000069189
3854 I00000090469 P00000335675
3854 I00000062935 P00000032059
3854 I00000090537 P00000087033
3854 I00000119182 P00000321125
3854 I00000090258 P00000395226
3854 I00000126101 P00000467824
3854 I00000040510 P00000058854
3854 I00000069650 P00000303558
3854 I00000124888 P00000488672
3854 I00000070580 P00000248546
3854 I00000095583 P00000351176
3854 I00000132040 P00000164978
3854 I00000001746 P00000271509
3854 I00000132156 P00000321994
3854 I00000123630 P00000468487
3854 I00000027983 P00000084226
3854 I00000089911 P00000178443
3854 I00000005770 P00000101768
3854 I00000147406 P00000425165
3854 I00000095099 P00000124370
3854 I00000113032 P00000070020
3854 I00000021554 P00000082168
3854 I00000141182 P00000042470
3854 I00000079378 P00000213567
3854 I00000032767 P00000400837
3854 I00000113467 P00000410484
3854 I00000068565 P00000240676
3854 I00000045393 P00000256524
3854 I00000152107 P00000476060
3854 I00000110863 P00000288205
3854 I00000118650 P00000167093
3854 I00000117503 P00000356240
3854 I00000119167 P00000389772
3854 I00000126273 P00000344141
3854 I00000155602 P00000356312
3854 I00000104195 P00000079881
3854 I00000137600 P00000478326
3854 I00000092989 P00000353612
3854 I00000111395 P00000194621
3854 I00000059453 P00000280562
3854 I00000112487 P00000067516
3854 I00000151490 P00000456604
3854 I00000116544 P00000484544
3854 I00000110279 P00000052511
3854 I00000117425 P00000317269
3854 I00000093296 P00000103906
3854 I00000093099 P00000034954
3854 I00000051228 P00000362676
3854 I00000038985 P00000166266
3854 I00000098902 P00000357242
3854 I00000081464 P00000068285
3854 I00000105177 P00000354546
3854 I00000113400 P00000189551
3854 I00000090295 P00000035878
3854 I00000107350 P00000492276
3854 I00000090825 P00000385393
3854 I00000083665 P00000080644
3854 I00000144984 P00000276785
3854 I00000038513 P00000080571
3854 I00000066308 P00000006311
3854 I00000116255 P00000103791
3854 I00000069462 P00000385249
3854 I00000093977 P00000479636
3854 I00000107198 P00000023023
3854 I00000008084 P00000382879
3854 I00000033438 P00000268299
3854 I00000148279 P00000425517
3854 I00000105015 P00000467241
3854 I00000124870 P00000169467
3854 I00000076077 P00000187675
3854 I00000121456 P00000045591
3854 I00000006980 P00000146356
3854 I00000104950 P00000129869
3854 I00000127379 P00000446897
3854 I00000116042 P00000101651
3854 I00000132402 P00000172247
3854 I00000018546 P00000325579
3854 I00000079816 P00000336235
3854 I00000042292 P00000285751
3854 I00000004610 P00000342773
3854 I00000093364 P00000012037
3854 I00000082453 P00000084336
3854 I00000006758 P00000282753
3854 I00000044552 P00000344172
3854 I00000004570 P00000392945
3854 I00000078900 P00000074644
3854 I00000090957 P00000280289
3854 I00000083952 P00000351548
3854 I00000141146 P00000352409
3854 I00000118573 P00000179314
3854 I00000148069 P00000102822
3854 I00000060689 P00000445998
3854 I00000153644 P00000269035
3854 I00000021874 P00000321578
3854 I00000142873 P00000471295
3854 I00000149244 P00000105645
3854 I00000005662 P00000223663
3854 I00000129223 P00000152882
3854 I00000127995 P00000139585
3854 I00000052963 P00000138846
3854 I00000038272 P00000081744
3854 I00000146040 P00000407400
3854 I00000129657 P00000495100
3854 I00000095596 P00000335053
3854 I00000143639 P00000384915
3854 I00000039736 P00000057450
3854 I00000002103 P00000418650
3854 I00000045540 P00000088777
3854 I00000092872 P00000337781
3854 I00000096986 P00000265088
3854 I00000060793 P00000271381
3854 I00000128500 P00000405363
3854 I00000115125 P00000457944
3854 I00000147487 P00000187286
3854 I00000069812 P00000241938
3854 I00000132205 P00000152071
3854 I00000064241 P00000179362
3854 I00000117336 P00000493365
3854 I00000130820 P00000030359
3854 I00000026104 P00000371106
3854 I00000107996 P00000162927
3854 I00000109888 P00000156357
3854 I00000091432 P00000149298
3854 I00000083302 P00000459915
3854 I00000022850 P00000150030
3854 I00000097376 P00000016296
3854 I00000038788 P00000080194
3854 I00000105150 P00000298068
3854 I00000001841 P00000431647
3854 I00000134020 P00000085533
3854 I00000071018 P00000233885
3854 I00000142406 P00000318496
3854 I00000125663 P00000135432
3854 I00000138690 P00000431536
3854 I00000033209 P00000311643
3854 I00000003459 P00000416293
3854 I00000008888 P00000083136
3854 I00000119871 P00000263461
3854 I00000063761 P00000272463
3854 I00000021403 P00000326833
3854 I00000107502 P00000446980
3854 I00000097508 P00000145859
3854 I00000090778 P00000051712
3854 I00000111541 P00000246224
3854 I00000138243 P00000233889
3854 I00000143158 P00000440240
3854 I00000038759 P00000095087
3854 I00000066229 P00000176883
3854 I00000092046 P00000034784
3854 I00000119510 P00000160952
3854 I00000033999 P00000136053
3854 I00000131925 P00000223099
3854 I00000052279 P00000488449
3854 I00000017498 P00000465047
3854 I00000118629 P00000434235
3854 I00000009024 P00000197908
3854 I00000133678 P00000446853
3854 I00000126412 P00000437393
3854 I00000077068 P00000154177
3854 I00000137841 P00000461184
3854 I00000100967 P00000472938
3854 I00000077887 P00000440107
3854 I00000137550 P00000212666
3854 I00000075406 P00000196277
3854 I00000122397 P00000072470
3854 I00000112333 P00000364474
3854 I00000073397 P00000362569
3854 I00000078475 P00000278086
3854 I00000091373 P00000159104
3854 I00000148117 P00000066318
3854 I00000076890 P00000164923
3854 I00000141229 P00000329176
3854 I00000024144 P00000142785
3854 I00000032329 P00000317163
3854 I00000131631 P00000260600
3854 I00000045598 P00000000365
3854 I00000143642 P00000131682
3854 I00000090718 P00000378482
3854 I00000113848 P00000166818
3854 I00000117850 P00000210525
3854 I00000128099 P00000264317
3854 I00000105885 P00000465297
3854 I00000090849 P00000123585
3854 I00000136985 P00000056503
3854 I00000143134 P00000168194
3854 I00000034611 P00000048094
3854 I00000039957 P00000147381
3854 I00000153968 P00000422769
3854 I00000093589 P00000141902
3854 I00000133256 P00000273004
3854 I00000138385 P00000145350
3854 I00000125795 P00000147639
3854 I00000014315 P00000344811
3854 I00000131157 P00000437511
3854 I00000047583 P00000148073
3854 I00000005676 P00000268329
3854 I00000138845 P00000221852
3854 I00000118216 P00000177806
3854 I00000042951 P00000406033
3854 I00000091845 P00000360629
3854 I00000074922 P00000369387
3854 I00000023824 P00000454001
3854 I00000065342 P00000137754
3854 I00000154379 P00000315024
3854 I00000073852 P00000480216
3854 I00000151556 P00000383207
3854 I00000005819 P00000208172
3854 I00000011314 P00000139229
3854 I00000122849 P00000182338
3854 I00000114631 P00000067858
3854 I00000012224 P00000214594
3854 I00000104118 P00000321551
3854 I00000038651 P00000225392
3854 I00000009917 P00000269866
3854 I00000078682 P00000140308
3854 I00000147033 P00000011599
3854 I00000114276 P00000491477
3854 I00000122104 P00000014577
3854 I00000089264 P00000258926
3854 I00000005046 P00000299601
3854 I00000091628 P00000378885
3854 I00000073405 P00000160751
3854 I00000054589 P00000116382
3854 I00000007017 P00000424505
3854 I00000129213 P00000428767
3854 I00000091158 P00000269800
3854 I00000046900 P00000069459
3854 I00000022346 P00000045776
3854 I00000009574 P00000344322
3854 I00000040065 P00000430867
3854 I00000129489 P00000185281
3854 I00000125277 P00000267890
3854 I00000153601 P00000060795
3854 I00000055176 P00000397876
3854 I00000116396 P00000370209
3854 I00000057446 P00000343547
3854 I00000145636 P00000239313
3854 I00000065201 P00000158679
3854 I00000112476 P00000131629
3854 I00000044262 P00000299681
3854 I00000128359 P00000056830
3854 I00000091609 P00000274052
3854 I00000065940 P00000496950
3854 I00000085519 P00000089120
3854 I00000104975 P00000150111
3854 I00000002023 P00000375986
3854 I00000100197 P00000487630
3854 I00000061458 P00000187240
3854 I00000090155 P00000169767
3854 I00000023356 P00000098710
3854 I00000075443 P00000143235
3854 I00000054998 P00000406373
3854 I00000110286 P00000028397
3854 I00000110369 P00000022222
3854 I00000060798 P00000354610
3854 I00000034230 P00000008567
3854 I00000089901 P00000049465
3854 I00000127363 P00000029909
3854 I00000007318 P00000097941
3854 I00000132554 P00000317767
3854 I00000079113 P00000356751
3854 I00000042724 P00000423429
3854 I00000125513 P00000338741
3854 I00000022112 P00000133196
3854 I00000147242 P00000032598
3854 I00000115117 P00000205226
3854 I00000144037 P00000141015
3854 I00000086927 P00000210979
3854 I00000121553 P00000020400
3854 I00000089423 P00000313111
3854 I00000081652 P00000011232
3854 I00000080304 P00000359415
3854 I00000131019 P00000479291
3854 I00000129203 P00000349609
3854 I00000080146 P00000129563
3854 I00000137243 P00000411380
3854 I00000103249 P00000249705
3854 I00000131958 P00000371911
3854 I00000055477 P00000076908
3854 I00000022822 P00000131440
3854 I00000045454 P00000312881
3854 I00000094577 P00000103180
3854 I00000116222 P00000033007
3854 I00000029134 P00000469931
3854 I00000091259 P00000122111
3854 I00000093505 P00000432927
3854 I00000149031 P00000256662
3854 I00000146998 P00000214517
3854 I00000050827 P00000034787
3854 I00000053600 P00000343556
3854 I00000154517 P00000410907
3854 I00000103954 P00000231189
3854 I00000068189 P00000173143
3854 I00000004538 P00000107583
3854 I00000089629 P00000151006
3854 I00000079666 P00000103038
3854 I00000108450 P00000385730
3854 I00000124441 P00000361448
3854 I00000031633 P00000324623
3854 I00000004918 P00000052199
3854 I00000067701 P00000293260
3854 I00000136234 P00000232436
3854 I00000022958 P00000443049
3854 I00000100790 P00000454061
3854 I00000005795 P00000176768
3854 I00000133642 P00000285456
3854 I00000091656 P00000283476
3854 I00000040504 P00000287765
3854 I00000150391 P00000042141
3854 I00000085061 P00000130543
3854 I00000042689 P00000073663
3854 I00000065119 P00000212793
3854 I00000113525 P00000381747
3854 I00000037878 P00000067162
3854 I00000048387 P00000264012
3854 I00000043426 P00000406865
3854 I00000030167 P00000288206
3854 I00000143273 P00000342451
3854 I00000050188 P00000034640
3854 I00000116451 P00000411612
3854 I00000126018 P00000412582
3854 I00000086887 P00000287547
3854 I00000108681 P00000101542
3854 I00000064766 P00000349650
3854 I00000045727 P00000042208
3854 I00000031512 P00000421096
3854 I00000085591 P00000075104
3854 I00000115821 P00000068979
3854 I00000135885 P00000008400
3854 I00000092332 P00000201670
3854 I00000140508 P00000342456
3854 I00000111271 P00000052646
3854 I00000016839 P00000076649
3854 I00000085008 P00000266864
3854 I00000132919 P00000046251
3854 I00000142760 P00000172491
3854 I00000115253 P00000259287
3854 I00000152013 P00000427580
3854 I00000011603 P00000021142
3854 I00000031406 P00000270830
3854 I00000146136 P00000184501
3854 I00000125125 P00000082455
3854 I00000095902 P00000459673
3854 I00000128956 P00000217135
3854 I00000092925 P00000449056
3854 I00000100530 P00000494322
3854 I00000001090 P00000399844
3854 I00000108759 P00000367077
3854 I00000079506 P00000111924
3854 I00000081103 P00000113231
3854 I00000022176 P00000377150
3854 I00000068533 P00000319628
3854 I00000047102 P00000394636
3854 I00000067907 P00000450972
3854 I00000001725 P00000184695
3854 I00000057963 P00000430370
3854 I00000049527 P00000189511
3854 I00000107943 P00000433831
3854 I00000124665 P00000073237
3854 I00000101099 P00000268694
3854 I00000061851 P00000240077
3854 I00000118242 P00000203719
3854 I00000063123 P00000283483
3854 I00000115544 P00000094960
3854 I00000098322 P00000427662
3854 I00000097239 P00000121506
3854 I00000059896 P00000499295
3854 I00000147589 P00000162186
3854 I00000122163 P00000259263
3854 I00000030776 P00000107441
3854 I00000105257 P00000035015
3854 I00000039252 P00000494332
3854 I00000004413 P00000457809
3854 I00000026585 P00000484024
3854 I00000085416 P00000209448
3854 I00000080574 P00000199019
3854 I00000128468 P00000028298
3854 I00000138649 P00000273918
3854 I00000076018 P00000229893
3854 I00000068296 P00000260324
3854 I00000138215 P00000486508
3854 I00000139536 P00000106638
3854 I00000059454 P00000196351
3854 I00000129093 P00000325319
3854 I00000079357 P00000212288
3854 I00000063485 P00000479178
3854 I00000092848 P00000097308
3854 I00000108937 P00000301672
3854 I00000092633 P00000100850
3854 I00000059986 P00000440565
3854 I00000051960 P00000421081
3854 I00000006609 P00000039466
3854 I00000036652 P00000354396
3854 I00000094346 P00000465529
3854 I00000079201 P00000067809
3854 I00000043701 P00000435057
3854 I00000069025 P00000312486
3854 I00000127984 P00000480792
3854 I00000061392 P00000415068
3854 I00000080373 P00000122306
3854 I00000005737 P00000397157
3854 I00000089694 P00000055820
3854 I00000048449 P00000112687
3854 I00000039219 P00000364741
3854 I00000128005 P00000146409
3854 I00000147564 P00000375376
3854 I00000008699 P00000119910
3854 I00000122190 P00000306227
3854 I00000148741 P00000289957
3854 I00000017111 P00000414132
3854 I00000129014 P00000000774
3854 I00000120853 P00000430392
3854 I00000081324 P00000057578
3854 I00000154275 P00000142693
3854 I00000075163 P00000464459
3854 I00000107367 P00000140391
3854 I00000068369 P00000307326
3854 I00000154672 P00000238618
3854 I00000066520 P00000410736
3854 I00000000038 P00000269502
3854 I00000127456 P00000269806
3854 I00000076677 P00000356926
3854 I00000064589 P00000462807
3854 I00000087621 P00000141096
3854 I00000055916 P00000062045
3854 I00000115980 P00000310729
3854 I00000037460 P00000300536
3854 I00000091273 P00000113926
3854 I00000102009 P00000362515
3854 I00000102534 P00000415730
3854 I00000128691 P00000125815
3854 I00000106324 P00000115993
3854 I00000126601 P00000019220
3854 I00000097722 P00000210128
3854 I00000091801 P00000227402
3854 I00000023644 P00000417063
3854 I00000127950 P00000012487
3854 I00000053412 P00000076570
3854 I00000047726 P00000379529
3854 I00000002374 P00000410438
3854 I00000118552 P00000316313
3854 I00000068896 P00000321531
3854 I00000147685 P00000397511
3854 I00000002844 P00000453821
3854 I00000003295 P00000185290
3854 I00000022736 P00000255057
3854 I00000065880 P00000259597
3854 I00000028651 P00000344544
3854 I00000019415 P00000382399
3854 I00000152097 P00000383807
3854 I00000008120 P00000067708
3854 I00000081470 P00000299643
3854 I00000118291 P00000197380
3854 I00000079227 P00000182295
3854 I00000100489 P00000017920
3854 I00000031566 P00000208002
3854 I00000002481 P00000007328
3854 I00000090837 P00000142178
3854 I00000126384 P00000408766
3854 I00000067558 P00000004940
3854 I00000126707 P00000180804
3854 I00000002939 P00000145739
3854 I00000007102 P00000026286
3854 I00000014471 P00000008913
3854 I00000010926 P00000044712
3854 I00000155712 P00000282836
3854 I00000116575 P00000426557
3854 I00000007538 P00000130578
3854 I00000112779 P00000194145
3854 I00000014261 P00000310183
3854 I00000095229 P00000217924
3854 I00000053078 P00000013878
3854 I00000045810 P00000491599
3854 I00000052976 P00000081412
3854 I00000092900 P00000273498
3854 I00000125093 P00000156420
3854 I00000094876 P00000284219
3854 I00000084200 P00000386044
3854 I00000122531 P00000152483
3854 I00000059179 P00000064524
3854 I00000109967 P00000044097
3854 I00000079823 P00000440707
3854 I00000096271 P00000249690
3854 I00000127365 P00000063981
3854 I00000128195 P00000276142
3854 I00000047638 P00000387918
3854 I00000041051 P00000391697
3854 I00000008822 P00000263888
3854 I00000057328 P00000385454
3854 I00000105643 P00000294904
3854 I00000024336 P00000196395
3854 I00000141960 P00000196766
3854 I00000037114 P00000346865
3854 I00000074777 P00000203534
3854 I00000044266 P00000373221
3854 I00000151041 P00000380199
3854 I00000142916 P00000150285
3854 I00000010245 P00000310990
3854 I00000034880 P00000296993
3854 I00000034449 P00000105973
3854 I00000083343 P00000066631
3854 I00000006852 P00000249463
3854 I00000025197 P00000494654
3854 I00000143667 P00000172486
3854 I00000062284 P00000114079
3854 I00000098461 P00000182713
3854 I00000141942 P00000326887
3854 I00000057642 P00000241153
3854 I00000125642 P00000135489
3854 I00000104577 P00000436914
3854 I00000096389 P00000211190
3854 I00000050286 P00000365400
3854 I00000149233 P00000203587
3854 I00000010606 P00000245792
3854 I00000111029 P00000308901
3854 I00000056261 P00000032749
3854 I00000074701 P00000067422
3854 I00000046007 P00000041449
3854 I00000127989 P00000434985
3854 I00000115635 P00000090697
3854 I00000089992 P00000391420
3854 I00000006963 P00000034593
3854 I00000030494 P00000104859
3854 I00000154716 P00000236501
3854 I00000010209 P00000144171
3854 I00000079409 P00000202979
3854 I00000044403 P00000490507
3854 I00000126477 P00000034573
3854 I00000106182 P00000450132
3854 I00000078408 P00000289479
3854 I00000092987 P00000080792
3854 I00000131973 P00000345404
3854 I00000095524 P00000239536
3854 I00000042497 P00000243947
3854 I00000141049 P00000236659
3854 I00000143438 P00000422749
3854 I00000067969 P00000021421
3854 I00000115659 P00000496988
3854 I00000064563 P00000283829
3854 I00000152749 P00000155756
3854 I00000064394 P00000322508
3854 I00000010089 P00000348032
3854 I00000112932 P00000298890
3854 I00000047979 P00000337947
3854 I00000006419 P00000493874
3854 I00000018338 P00000301636
3854 I00000090544 P00000365696
3854 I00000087306 P00000451407
3854 I00000127087 P00000473080
3854 I00000075538 P00000301532
3854 I00000010329 P00000016524
3854 I00000050483 P00000346721
3854 I00000055072 P00000262253
3854 I00000113091 P00000410330
3854 I00000103071 P00000462985
3854 I00000149934 P00000297557
3854 I00000033220 P00000269560
3854 I00000051665 P00000495570
3854 I00000142509 P00000186127
3854 I00000122700 P00000324753
3854 I00000118823 P00000149836
3854 I00000143906 P00000158420
3854 I00000095542 P00000457079
3854 I00000084913 P00000459585
3854 I00000147052 P00000002353
3854 I00000113788 P00000025516
3854 I00000009903 P00000212772
3854 I00000088034 P00000360736
3854 I00000004084 P00000163377
3854 I00000074619 P00000121064
3854 I00000140483 P00000046172
3854 I00000003026 P00000110796
3854 I00000023208 P00000498113
3854 I00000078490 P00000219215
3854 I00000080924 P00000369565
3854 I00000117907 P00000266057
3854 I00000071059 P00000217934
3854 I00000148627 P00000182773
3854 I00000148239 P00000016555
3854 I00000147050 P00000417911
3854 I00000011600 P00000088560
3854 I00000018665 P00000299792
3854 I00000035316 P00000209634
3854 I00000111428 P00000159749
3854 I00000076102 P00000364036
3854 I00000059116 P00000218114
3854 I00000144928 P00000390638
3854 I00000024091 P00000301705
3854 I00000064665 P00000417045
3854 I00000129603 P00000488980
3854 I00000145709 P00000154966
3854 I00000036494 P00000380553
3854 I00000038194 P00000287671
3854 I00000146120 P00000361487
3854 I00000080024 P00000480714
3854 I00000137704 P00000464808
3854 I00000080399 P00000447163
3854 I00000084281 P00000099623
3854 I00000073121 P00000272773
3854 I00000108849 P00000100538
3854 I00000123432 P00000208581
3854 I00000065787 P00000479179
3854 I00000046449 P00000190931
3854 I00000043238 P00000179897
3854 I00000108838 P00000060778
3854 I00000027118 P00000214005
3854 I00000068617 P00000162252
3854 I00000075878 P00000035245
3854 I00000067490 P00000033647
3854 I00000143847 P00000222199
3854 I00000092278 P00000157420
3854 I00000042721 P00000369308
3854 I00000035812 P00000185107
3854 I00000097301 P00000152274
3854 I00000006675 P00000200155
3854 I00000089613 P00000250162
3854 I00000069077 P00000277334
3854 I00000151672 P00000395208
3854 I00000114698 P00000070906
3854 I00000118049 P00000046089
3854 I00000129549 P00000025462
3854 I00000011396 P00000410241
3854 I00000086906 P00000253561
3854 I00000141904 P00000059880
3854 I00000062020 P00000186456
3854 I00000109492 P00000376712
3854 I00000020015 P00000327569
3854 I00000059871 P00000002837
3854 I00000009760 P00000256918
